cell_id,backend,depth,op,n,status,computational_gas_min,computational_gas_max,pubdata_bytes_min,pubdata_bytes_max,gas_used_min,gas_used_max,calldata_bytes,bytecode_bytes
primary-groth16-d10,groth16,10,neg_cross_depth_setup,1,1,124797,124797,51,51,129062,129062,36,
primary-groth16-d10,groth16,10,neg_cross_depth,1,0,451089,451089,18,18,452594,452594,292,
primary-groth16-d10,groth16,10,neg_non_issuer,1,0,118599,118599,45,45,122362,122362,36,
primary-groth16-d11,groth16,11,deploy_verifier,1,1,487466,487466,3371,3371,769405,769405,132,3040
primary-groth16-d11,groth16,11,deploy_manager,1,1,730737,730737,5389,5389,1181454,1181454,164,6752
primary-groth16-d11,groth16,11,set_issuer,1,1,124477,124477,51,51,128742,128742,68,
primary-groth16-d11,groth16,11,add_root,1,1,124797,124797,51,51,129062,129062,36,
primary-groth16-d11,groth16,11,verify_credential,8,1,451324,451324,18,18,452829,452829,292,
primary-groth16-d11,groth16,11,verify_proof_direct,8,1,444311,444311,18,18,445816,445816,292,
primary-groth16-d11,groth16,11,neg_unknown_root,1,0,118680,118680,18,18,120185,120185,292,
primary-groth16-d11,groth16,11,neg_tampered,1,0,451051,451051,18,18,452556,452556,292,
primary-groth16-d11,groth16,11,neg_cross_depth_setup,1,1,124797,124797,51,51,129062,129062,36,
primary-groth16-d11,groth16,11,neg_cross_depth,1,0,451089,451089,18,18,452594,452594,292,
primary-groth16-d11,groth16,11,neg_non_issuer,1,0,118599,118599,45,45,122362,122362,36,
primary-groth16-d15,groth16,15,deploy_verifier,1,1,487466,487466,3371,3371,769405,769405,132,3040
primary-groth16-d15,groth16,15,deploy_manager,1,1,730737,730737,5389,5389,1181454,1181454,164,6752
primary-groth16-d15,groth16,15,set_issuer,1,1,124477,124477,51,51,128742,128742,68,
primary-groth16-d15,groth16,15,add_root,1,1,124797,124797,51,51,129062,129062,36,
primary-groth16-d15,groth16,15,verify_credential,8,1,451324,451324,18,18,452829,452829,292,
primary-groth16-d15,groth16,15,verify_proof_direct,8,1,444311,444311,18,18,445816,445816,292,
primary-groth16-d15,groth16,15,neg_unknown_root,1,0,118680,118680,18,18,120185,120185,292,
primary-groth16-d15,groth16,15,neg_tampered,1,0,451051,451051,18,18,452556,452556,292,
primary-groth16-d15,groth16,15,neg_cross_depth_setup,1,1,124797,124797,51,51,129062,129062,36,
primary-groth16-d15,groth16,15,neg_cross_depth,1,0,451089,451089,18,18,452594,452594,292,
primary-groth16-d15,groth16,15,neg_non_issuer,1,0,118599,118599,45,45,122362,122362,36,
primary-plonk-d5,plonk,5,deploy_verifier,1,1,2906398,2906398,24523,24523,4957419,4957419,132,41824
primary-plonk-d5,plonk,5,deploy_manager,1,1,717867,717867,5261,5261,1157879,1157879,164,6624
primary-plonk-d5,plonk,5,set_issuer,1,1,124461,124461,51,51,128726,128726,68,
primary-plonk-d5,plonk,5,add_root,1,1,124781,124781,51,51,129046,129046,36,
primary-plonk-d5,plonk,5,verify_credential,8,1,451581,453537,18,18,453086,455042,804,
primary-plonk-d5,plonk,5,verify_proof_direct,8,1,444132,446088,18,18,445637,447593,804,
primary-plonk-d5,plonk,5,neg_unknown_root,1,0,118760,118760,18,18,120265,120265,804,
primary-plonk-d5,plonk,5,neg_tampered,1,0,452756,452756,18,18,454261,454261,804,
primary-plonk-d5,plonk,5,neg_cross_depth_setup,1,1,124781,124781,51,51,129046,129046,36,
primary-plonk-d5,plonk,5,neg_cross_depth,1,0,452684,452684,18,18,454189,454189,804,
primary-plonk-d5,plonk,5,neg_non_issuer,1,0,118583,118583,45,45,122346,122346,36,
primary-plonk-d10,plonk,10,deploy_verifier,1,1,2906398,2906398,24523,24523,4957419,4957419,132,41824
primary-plonk-d10,plonk,10,deploy_manager,1,1,717867,717867,5261,5261,1157879,1157879,164,6624
primary-plonk-d10,plonk,10,set_issuer,1,1,124461,124461,51,51,128726,128726,68,
primary-plonk-d10,plonk,10,add_root,1,1,124781,124781,51,51,129046,129046,36,
primary-plonk-d10,plonk,10,verify_credential,8,1,451047,455613,18,18,452552,457118,804,
primary-plonk-d10,plonk,10,verify_proof_direct,8,1,443598,448164,18,18,445103,449669,804,
primary-plonk-d10,plonk,10,neg_unknown_root,1,0,118760,118760,18,18,120265,120265,804,
primary-plonk-d10,plonk,10,neg_tampered,1,0,453266,453266,18,18,454771,454771,804,
primary-plonk-d10,plonk,10,neg_cross_depth_setup,1,1,124781,124781,51,51,129046,129046,36,
primary-plonk-d10,plonk,10,neg_cross_depth,1,0,452396,452396,18,18,453901,453901,804,
primary-plonk-d10,plonk,10,neg_non_issuer,1,0,118583,118583,45,45,122346,122346,36,
primary-plonk-d11,plonk,11,deploy_verifier,1,1,2924800,2924800,24667,24667,4987865,4987865,132,42208
primary-plonk-d11,plonk,11,deploy_manager,1,1,717867,717867,5261,5261,1157879,1157879,164,6624
primary-plonk-d11,plonk,11,set_issuer,1,1,124461,124461,51,51,128726,128726,68,
primary-plonk-d11,plonk,11,add_root,1,1,124781,124781,51,51,129046,129046,36,
primary-plonk-d11,plonk,11,verify_credential,8,1,450915,454203,18,18,452420,455708,804,
primary-plonk-d11,plonk,11,verify_proof_direct,8,1,443466,446754,18,18,444971,448259,804,
primary-plonk-d11,plonk,11,neg_unknown_root,1,0,118760,118760,18,18,120265,120265,804,
primary-plonk-d11,plonk,11,neg_tampered,1,0,452972,452972,18,18,454477,454477,804,
primary-plonk-d11,plonk,11,neg_cross_depth_setup,1,1,124781,124781,51,51,129046,129046,36,
primary-plonk-d11,plonk,11,neg_cross_depth,1,0,451490,451490,18,18,452995,452995,804,
primary-plonk-d11,plonk,11,neg_non_issuer,1,0,118583,118583,45,45,122346,122346,36,
primary-plonk-d15,plonk,15,deploy_verifier,1,1,2924800,2924800,24667,24667,4987865,4987865,132,42208
primary-plonk-d15,plonk,15,deploy_manager,1,1,717867,717867,5261,5261,1157879,1157879,164,6624
primary-plonk-d15,plonk,15,set_issuer,1,1,124461,124461,51,51,128726,128726,68,
primary-plonk-d15,plonk,15,add_root,1,1,124781,124781,51,51,129046,129046,36,
primary-plonk-d15,plonk,15,verify_credential,8,1,451881,454065,18,18,453386,455570,804,
primary-plonk-d15,plonk,15,verify_proof_direct,8,1,444432,446616,18,18,445937,448121,804,
primary-plonk-d15,plonk,15,neg_unknown_root,1,0,118760,118760,18,18,120265,120265,804,
primary-plonk-d15,plonk,15,neg_tampered,1,0,452468,452468,18,18,453973,453973,804,
primary-plonk-d15,plonk,15,neg_cross_depth_setup,1,1,124781,124781,51,51,129046,129046,36,
primary-plonk-d15,plonk,15,neg_cross_depth,1,0,452558,452558,18,18,454063,454063,804,
primary-plonk-d15,plonk,15,neg_non_issuer,1,0,118583,118583,45,45,122346,122346,36,
